query_time,message,like_count
1/6/2021 16:58,"Kesian makcik kiah, walaupun dpt bantuan sbnyk rm8,600, tp skrng emco, keluarganya X dpt bekerja, cuma dia seorg ja buka gerai, Pas Tu xda air, X dpt juga buka gerai, mau keluar mkn dgn keluarga pun X blh sbb sop 2org dlm keta saja. Mau gi ambil air pun X blh sbb dia dan suami sakit bdn, anak 2org blh je bw seorg. Gi Beli mknn dkt warung Pula diorg Naik HARGA sbb xda air, peniaga lain pakai air mineral tuk masak. Keluar rumah takut virus, tinggal dkt rumah takut xda air Pula. Kesian betul mak cik kiah",0
1/6/2021 16:58,hi YB. kejadian ni berjaya menaikkan kekecewaan dan rasa dukacita rakyat pada pentadbiran negeri. ramai terkena dan marah sangat. mengapa perlu simpan lagi budak budak kartel selangor ni?,0
1/6/2021 16:58,Selangor ni ada puaka.. sbbbdr kjaan BN dulu lpstu tukar kjaan PKR dan DAP.. sm je.. xde beza.. semua xde otak nak pkr.. negeri paling maju di malaysia tapi taraf jabatan air macam mogambia kat africa sana,0
1/6/2021 16:58,,
1/6/2021 16:58,Some things  is not RIGHT !!! Can someone  do something  ?,0
1/6/2021 16:58,"YB, why Selangor water disruption no ending",0
1/6/2021 16:58,"Some heads must roll...if not, this will not be taken seriously. If not the MB, then Syabas CEO.",1
1/6/2021 16:58,Always happens when Kerajaan Pintu Belakang needs a Darurat,0
1/6/2021 16:58,Exerday pollution. I think Selangor gomen have to do something. ,0
1/6/2021 16:58,Its time the PH Goverment wake up .Before the people wake up on you guys. Honestly its not a joke.,1
1/6/2021 16:58,No one rlse to blame..Selngor have been under PKR fir so many years...,0
1/6/2021 16:58,"when i look at the list, is like matched Toto 4d number.   the difference is  i hope i (my area) tak kena",0
1/6/2021 16:58,"Thank you, YB Wong Chen. ",0
1/6/2021 16:58,Pundek laa..all politicians just talk..talk..talk..zero,1
1/6/2021 16:58,Never ending water issue .. worst the. Third world 🌎 country ready 😡😡😡😡😡😡,0
