created_time,message
11/1/2021 9:48,Make us... I have wore a mask exactly one time since this supposed covid outbreak. They wouldn't let me in DMV to register a car without it. Anywhere else I suggest they kiss my ass.
11/1/2021 9:10,I wish he would pull his up tighter
11/1/2021 9:09,Nancy don’t wear hers when she is getting her hair done 
11/1/2021 9:10,Wear one in gitmo
11/1/2021 10:15,The hope is you will do it to protect the people around you 
12/1/2021 7:53,I see he got his second shot today SAD. 4 the rest of the U.S.
11/1/2021 10:24,Well let him wear it in prisión
11/1/2021 10:13,He needs a full mask over his head
12/1/2021 14:30,Put your mask on goin the basement were you belong 
12/1/2021 0:41,Make dont work if he wants wear one more power to him
11/1/2021 9:36,Stay in your lane Joey!
11/1/2021 9:43,I am so sick of the dam mask and sick of hearing about covid too
12/1/2021 6:31,Good Luck in enforcing it. We still r America. Freedom of choice.
12/1/2021 5:03,I won't abide by any of his rules
11/1/2021 10:33,No mask for me Joe!!
,
,
11/1/2021 12:11,Total lunatic. He even said he wasn't coming to his own inauguration.
13/1/2021 12:14,Sleepy joe can shove that where the sun doesn’t shine
11/1/2021 14:39,"Inside ok, outside no way"
11/1/2021 9:08,Not happening jack 
11/1/2021 9:11,I wear mine anyway
11/1/2021 10:10,He can push it up his ass.
11/1/2021 13:29,Such a clown! ??
11/1/2021 10:22,He can shove the mask bullshit up his ass
11/1/2021 9:36,That's common sense don't need the president to tell.us that.
11/1/2021 19:12,Bandits wear Masks
11/1/2021 11:16,His head is up his ass for the warmth.
11/1/2021 13:43,Please tell me that is not your big plan!!!!
11/1/2021 19:06,"Stop the fear! Open up, let’s get to herd immunity already. Mask don’t work obviously, if it’s still raging? Life is inherently dangerous. Go hide under a rock if it’s too much for you to bare! "
11/1/2021 9:15,I think our governor has got this covered..??
11/1/2021 9:40,Sorry it’s my right and I’ll fight it all the way to court 
12/1/2021 0:13,"Put him in the Bsmnt ,Tell him hes in the White House,He wont know the Difference."
12/1/2021 1:02,Joe Biden is not my president  and never will be!!
12/1/2021 3:16,It’s just about CONTROL!!!
11/1/2021 9:41,Joe Biden can MANDATE this. He needs to keep his pie hole shut
12/1/2021 1:21,With everything going on hes about to be in jail with Pelosi
11/1/2021 10:18,This is just one way for the government to start controlling the public
12/1/2021 4:12,I want to push for only Republicans in all 50 states.
11/1/2021 9:19,Another ground breaking concept from our president elect!!
11/1/2021 12:15,Y'all all go suck on little Donnie. He loves you. Hahahahaha. 
11/1/2021 9:10,Imagine if Trump even mentioned that idea. The states are supposed to be in charge and honestly I don’t need any government telling me what’s best to protect my family and fellow citizens.   The Democrats will be praising Biden for it but I do hope the states do not just turn over their power to the federal government. 
,
,
12/1/2021 8:19,Wear 3 and sufficate
11/1/2021 9:30,Wow what a presidential first action. Lol. Whats next in this sleepy joe?
13/1/2021 7:26,Nope..... Keep big government out of state and local mandates
12/1/2021 4:09,Absolutely this bs is the communist party playbook
11/1/2021 9:07,Never wearing it!
11/1/2021 9:13,Facebook and Twitter stock holders sell your stock before it's worthless.
12/1/2021 11:39,I think a fellow wrestler schooled Dr. Fauci. Watch it.  https://youtu.be/oSCSWVrcCtA
11/1/2021 9:41,I am not wearing one so digest that
11/1/2021 9:07,If he will come over by himself and ask me to i will do it
11/1/2021 9:11,"I live in NEW YORK . It'll be no different, we already have a dictatorship here !!!"
11/1/2021 10:24,I am interested in seeing how he will enforce it !
11/1/2021 9:16,Will he send Beto out to get our guns too? Haha
12/1/2021 0:57,Sleep Joe  is stupid  he can't  remember  anything  he  says  are where he is... we are going  to  be  in a  lot of  trouble  with  sleep Joe..... we all going  to  die
